Term (Spanish),Term (English),Agency,Submitted By,Abbr / Acronym - Spanish,Abbr / Acronym - English,Topic,Subtopic,Definition - Spanish,Definition - English,Notes - Spanish,Notes - English,Plain Language - Spanish,Plain language - English,Related entry - English,Preferred use - Spanish,Anglicism,Forbidden term,Context - Spanish,Region - Spanish,Gr. Gender,Gr. Number,Part of speech - Spanish,Variants - Spanish,Source - Spanish
corticosteroides orales,oral corticosteroids,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
cosecha,harvesting,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
cosmecéutica,cosmeceutical,FDA,FDA,,,Health,Cosmetics,,,,,,,,,,,,,,,,,
cosméticos,cosmetics,FDA,FDA,,,Health,Cosmetics,,,,,,,,,,,,,,,,,
cosquilleo,tingling,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
cotinina,cotinine,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
cotización,quote,USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
COVID-19 persistente,long COVID-19,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
cráneo,cranium,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
craneosinostosis,craniosynostosis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
craneosinostosis sagital,sagittal craniosynostosis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
crear,develop,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
creatinina,creatinine,NIH,NIH,Cr,Cr,Health,,,,,,,,,,,,,,,,,,
creatinina'fosfocinasa,creatine phosphokinase,NIH,NIH,CF,CPK,Health,,,,,,,,,,,,,,,,,,
crecimiento,growth,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
crecimiento acelerado o estirón,Growth spur,USDA-FNS,USDA-FNS,,,Health,,,,,"There is no official term in Spanish, internal translation for consistency and to be easy to understand.",,,,,,,,,,,,,
crestas palatinas,palatal shelves,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
crianza,raising,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
crioconservación,cryopreservation,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
criptorquidia,cryptorchidism,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
criptosporidiosis,cryptosporidiosis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
criseno,chrysene,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
crisis,flare,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
crisis epilépticas,seizure,NIH,NIH,,,Health,,,,,,,,,,,,,,,Plural,,,
crisis hepática aguda de células falciformes,acute sickle hepatic crisis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
cristobalita,cristobalite,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
criterio,approach,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
criterio de valoración,endpoint,"NIH,NIA,FDA","NIH, NIA",,,Health,Drug Development,,"A precisely defined variable intended to reflect an outcome of interest that is statistically analyzed to address a particular research question. A precise definition of an endpoint typically specifies the type of assessments made, the timing of those assessments, the assessment tools used, and possibly other details, as applicable, such as how multiple assessments within an individual are to be combined. (Source: BEST (Biomarkers, Endpoints and Other Tools) Resource)",,,,,,,,,,,,,,,
criterio de valoración indirecto,surrogate endpoint,FDA,FDA,,,Health,Drug Development,,"A type of endpoint used in clinical trials as a substitute for a direct measure of how a patient feels, functions, or survives. A surrogate endpoint does not measure the clinical benefit of primary interest in and of itself but rather is expected to predict that clinical benefit or harm based on epidemiologic, therapeutic, pathophysiologic, or other scientific evidence. From a U.S. regulatory standpoint, surrogate endpoints and potential surrogate endpoints can be characterized by the level of clinical validation: (a) validated surrogate endpoints; (b) reasonably likely surrogate endpoints; and (c) candidate surrogate endpoints. (Source: BEST (Biomarkers, Endpoints and Other Tools) Resource)",,,,,,,,,,,,,,,
criterios de inclusión,,NIA,NIA,,,,,,,,,,,,,,,when talking about Clinical trials,,,,,,
criterios de inclusión y exclusión,inclusion and exclusion criteria,FDA,FDA,,,Health,Drug Development,,"Los criterios de inclusión son los factores que le permiten a una persona participar en un ensayo clínico. Los criterios de exclusión son los factores que le impiden a una persona participar en el ensayo. Estos factores pueden incluir la enfermedad de una persona, su historial de salud, sus tratamientos anteriores, la edad, el sexo o el lugar en donde vive.",,,,,,,,,,,,,,,
crizanlizumab,crizanlizumab,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
cromosoma,chromosome ,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
crucial,critical,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
CSTHAEA,,FDA,FDA,,,,,,,,,,,,,,,,,,,,,
cuadro,table,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
cuadro clínico,"condition,presentation","NIH,NIA","NIH, NIA",,,"Health,Health",,,,,,,,,,,,,,,,,,
cuarcita,quartzite,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
cuarentena,quarantine,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
cuartiles,quartiles,NIH,NIH,,Qi,Health,,,,,,,,,,,,,,,,,,
Cuarto de galón,Quart/ Qt,USDA-FNS,USDA-FNS,,,Health,,,,,"To improve understanding for household recipes only, convert to cups for household recipes, ex ( 1 3/4 Qt = 7 Cups).",,,,,,,,,,,,,
cuarzo,quartz,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Cuasi-accidentes,Near Misses,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
cubierta de tela para la cara,,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
cubierta para la cara,face covering,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
cubra todas las superficies de las manos y fróteselas hasta que sienta que se secaron,,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
cúbrase la nariz y la boca al toser y estornudar,cover your coughs and sneezes,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Cucharadita (cdta),Teaspoon (tsp),USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
cucharón,"Ladle/Spoodle,Spoodle/Ladle",USDA-FNS,USDA-FNS,,,"Health,Health",,,,,"https://theicn.org/resources/1032/capacitacion-trainings/110639/cuaderno-de-trabajo-del-participante-2.pdf, https://theicn.org/resources/1032/capacitacion-trainings/110639/cuaderno-de-trabajo-del-participante-2.pdf",,,,,,,,,,,,,
"cucharón #12, #8)","""Scoop (#12, #8)""",USDA-FNS,USDA-FNS,,,Health,,,,,USDA: https://www.fsis.usda.gov/wps/portal/informational/en-espanol/hojasinformativas/etiquetado-de-alimentos/fechas-en-productos/fechas-productos-alimentos,,,,,,,,,,,,,
cuello del astrágalo,neck of the talus,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Cuerpo de Enfermería,Nurse Corps  ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Cuerpo de Respuesta al COVID-19,COVID-19 Corps,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Cuerpo Nacional de Servicios de Salud,National Health Service Corps ,HRSA,HRSA,,NHSC,,,,,,,,,,,,,,,,,,,
cuerpo uterino,corpus uteri,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
cuestiones normativas,regulatory questions,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
cuidado,care,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
cuidado de niños,childcare,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Cuidado de salud para personas sin hogar,Health Care for the Homeless,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
cuidador,caregiver,"CDC,FDA",CDC,,,Health,Drug Development,,"A person who helps a patient with daily activities, health care, or any other activities that the patient is unable to perform himself/herself due to illness or disability, and who understands the patient=E2=80=99s health-related needs. This person may or may not have decision-making authority for the patient and is not the patient=E2=80=99s healthcare provider.",,,,,,,,,,,,,,,
cuidados del VIH,HIV care,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
cuidados infantiles,childcare,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
cuidados intensivos,critical care,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
culebrilla,shingles zoster,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
cumafos,coumaphos,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
cuotas del usuario,user fees,FDA,FDA,,,Health,Food Industry,,from the proposed rule to run the accreditation bodies and auditors program ,,,,,,,,,,,,,,,
curetaje,curetage,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
curso,course,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
Curso Capacitación de Capacitadores  de Instructores de  la PSA,PSA Trainer-of-Trainers (ToTs) Course,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Curso Capacitando al instructor de la PSA,PSA Train-the-trainer (TTT) Course,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
curva epidemiológica,epidemic curve,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Cyclospora,Cyclospora,CDC,CDC,,,Health,,,,This term should be in italics and upper-case C.,,,,,,,,,,,,,,
cystoisosporiasis,cystoisosporiasis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dactilitis,dactylitis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
daidzeína,daidzein,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dañino,"deleterious,harmful",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
daño,harm,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
daptomicina,daptomycin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dar a conocer,inform,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dar cuenta de,report,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dar la vuelta,reverse,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dar marcha atrás,reverse,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dar parte de,report,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dato,"fact,finding","NIH,NIA","NIH, NIA",,,"Health,Health",,,,,,,,,,,,,,,,,,
datos,evidence,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
datos brutos,raw data,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
datos de experiencia del paciente,patient experience data,FDA,FDA,,,Health,Drug Development,,"Defined in Title III, section 3001 of the 21st Century Cures Act, as amended by section 605 of the FDA Reauthorization Act of 2017 (FDARA)<sup>1</sup>, and includes data that are collected by any persons and are intended to provide information about patients=E2=80=99 experiences with a disease or condition. Patient experience data can be interpreted as information that captures patients=E2=80=99 experiences, perspectives, needs, and priorities related to (but not limited to): 1) the symptoms of their condition and its natural history; 2) the impact of the conditions on their functioning and quality of life; 3) their experience with treatments; 4) input on which outcomes are important to them; 5) patient preferences for outcomes and treatments; and 6) the relative importance of any issue as defined by patients.",,,,,,,,,,,,,,,
Datos del mundo real,Real-World Data,FDA,FDA,,RWD,Health,Drug Development,,Data relating to patient health status and/or the delivery of health care routinely collected from a variety of sources. (Source: FDA Guidance on Use of Real-World Evidence to Support Regulatory Decision-Making for Medical Devices),,,,,,,,,,,,,,,
datos faltantes,missingness,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
datos maduros,mature data,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
datos probatorios,evidence,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
datos sugestivos,evidence,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
de alto riesgo,poor risk,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
de crecimiento lento,indolent,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
de crecimiento más rápido,aggressive,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
de escasa malignidad,indolent,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
de la genética,genetical,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
de los genes,genic,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
de mediana edad,middle-aged,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
de minimis,de minimis,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
de referencia,baseline,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
de rutina,periodic,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
de selección,screening,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
de suma importancia,critical,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
deambulación,ambulation,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
debatido,controversial,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
deben,should,FDA,FDA,,,Health,Food Industry,,what is probable or expected ,,,,,,,,,,,,,,,
debido a,based on,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
decepcionar,fail,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
decir,share,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
declaración de advertencia obligatoria,required warning statement,FDA,FDA,,,Health,Tobacco,,"means a textual warning statement required to be on packaging and in advertisements for cigarette tobacco, roll-your-own tobacco, cigars, and other covered tobacco products (part 1143).",,,,,,,,,,,,,,,
Declaración de Formulación del Producto,Product Formulation Statement (PFS),USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
declaración de información sobre la vacuna,Vaccine Information Statement,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
declaración principal,major statement,FDA,FDA,,,Health,Drug Advertising,,"The ""major statement"" is a term that is relevant only to broadcast (TV or radio) ads for prescription drugs. It refers to the presentation of the drug's most important risks. This presentation must be spoken. It also can be included in the video part of TV advertisements.
The amount and type of included risk information will vary by drug because different drugs have different risks.",,,,,,,,,,,,,,,
declaraciones,claim,FDA,FDA,,,Health,Drug Advertising,,"A claim says something about the advertised drug or what it does. Claims usually relate to benefits. Claims can be made directly by stating, for example, ""Brand X treats heartburn."" Claims also can be made indirectly by the use of pictures or other graphics. For example, an ad with a picture of a playground full of children may suggest a claim that the advertised drug treats children.
The law says that ads for prescription drugs can only make claims that are consistent with the drug's ""prescribing information."" Further, the truthfulness of claims must be supported by ""substantial evidence"" or substantial clinical experience.",,,,,,,,,,,,,,,
declarar,,NIA,NIA,,,,,,,,,,,,,,,,,,,Verb,,
decomisar,seize,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
dedos en palillo de tambor,clubbing,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
DEET,DEET,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
defecto,impairment,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
defecto de nacimiento,birth defect,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
defecto diafragmático anterior,anterior diaphragmatic defect,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
defectos cardiacos congénitos,congenital heart defects,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
defectos del tubo neural,neural tube defects,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Defensor del CPT,CTP Ombudsman,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
defensor del paciente,patient advocate,FDA,FDA,,,Health,Drug Development,,"An individual or group of individuals, who may or may not be part of the target patient population, who has a role in promoting an interest or cause to influence policy with respect to patients=E2=80=99 health or healthcare.",,,,,,,,,,,,,,,
deficiencia,impairment,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
deficiencia de AAT,AAT deficiency,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
deficiencia de alfa-1 antitripsina,alpha-1-antitrypsin deficiency,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
deficiencia de succínico semialdehído deshidrogenasa,succinic semialdehyde dehydrogenase deficiency,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
deficiencia de un componente del complemento,complement component deficiency,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
deficiencia visual,impaired vision,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
deficiente,poor,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Déficits cognitivos,Cognitive deficits,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
definición de caso,case definition,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
definición de caso (para fines de investigación de brotes),case definition (for the purpose of outbreak investigation),CDC,CDC,,,,,,,,,,,,,,,,,,,,,
definición de caso (para fines de vigilancia),case definition (for the purpose of surveillance),CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
definición de caso de COVID-19,COVID-19 case definition,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
deformidad calcáneo-valga,calcaneovalgus deformity,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
defunción,death,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Degeneración corticobasal,Corticobasal degeneration,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
deja un vacío,gap,FDA,FDA,,,Health,Food Industry,,,,When describing the omission of regulatory oversight,,,,,,,,,,,,,
dejar,fail,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dejar de fumar,"cessation,quit",FDA,FDA,,,"Health,Health","Tobacco,Tobacco",,"When it refers to ""quit smoking"".",,,,,,,,,,,,,,,
dejar sin efecto,revoke,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
del genoma,"genome,genomic","NIH,NIA","NIH, NIA",,,"Health,Health",,,,,,,,,,,,,,,,,,
delineador de labios,lipliner,FDA,FDA,,,Health,Cosmetics,,,,,,,,,,,,,,,,,
delineador de ojos,liquid eyeliner,FDA,FDA,,,Health,Cosmetics,,,,,,,,,,,,,,,,,
delirio,delusion,"CDC,NIA","CDC, NIA",,,Health,,,,,,,,,,,,,,,,,,
deltametrina,deltamethrin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
demencia,dementia,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
Demencia frontotemporal,,NIA,NIA,,,,,,,,,,,,,,,,,,,,,
Demencia frontotemporal con enfermedad de la neurona motora,,NIA,NIA,,,,,,,,,,,,,,,,,,,,,
demencia frontotemporal con variante conductual,behavioral-variant frontotemporal dementia,NIA,NIA,,,Health,,,,,,,,,Primary,,,,,,,,,
Demencia relacionada con la edad,Age-related dementia,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
demográfico,population-based,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
demostrar,demonstrate,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dendrita,dendrite,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
denegación de admisión,refusal of admission,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
dentadura postiza,denture,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
denunciar,report,FDA,FDA,,,Health,Tobacco,,Depending on the context.,,,,,,,,,,,,,,,
Departamento de Agricultura de los Estados Unidos,U.S. Department of Agriculture ,FDA,FDA,,USDA,Health,Food Industry,,,,,,,,,,,,,,,,,
Departamento de Relaciones con los Medios de Comunicación de los CDC,CDC Media Relations,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Departamento de Salud y Servicios Humanos,Department of Health and Human Services ,FDA,FDA,,HHS,Health,Office Names,,,,,,,,,,,,,,,,,
Departamento de Salud y Servicios Humanos de EE.UU.,U.S. Department of Health and Human Services ,HRSA,HRSA,,HHS,,,,,,,,,,,,,,,,,,,
dependencia,addictiveness,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
depósito,repository,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
depósito de Ommaya,Ommaya reservoir,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
depresión mayor,major depression,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
depresión menor,minor depression,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
derechos adquiridos,grandfathered,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
derivación,shunt,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
derivación coronaria (bypass),coronary artery bypass,CDC,CDC,,,Health,,,,The word bypass should be written in italics.,,,,,,,,,,,,,,
derivación ventriculoperitoneal,ventriculoperitoneal  shunt,NIH,NIH,,VP,Health,,,,,,,,,,,,,,,,,,
derivado proteico purificado,purified protein derivative,CDC,CDC,,PPD,Health,,,,,,,,,,,,,,,,,,
derivado proteico purificado de la tuberculina,tuberculin purified protein derivative,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dermatitis del pañal,diaper rash,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
derrame,effusion,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
desacelerar,slows down,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
desafortunadamente,unfortunately,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
desapacible,wild,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
desarrollo,course,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
Desarrollo de la fuerza laboral en salud materno-infantil,Maternal and Child Health Workforce Development ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
desarrollo de medicamentos centrado en el paciente (también denominado desarrollo de productos médicos centrado en el paciente),patient-focused drug development (also referred to as patient-focused medical product development,FDA,FDA,,PFDD,Health,Drug Development,,"A systematic approach to help ensure that patients=E2=80=99 experiences, perspectives, needs, and priorities are captured and meaningfully incorporated into the development and evaluation of medical products throughout the medical product life cycle.",,,,,,,,,,,,,,,
desasociego,distress,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
descabellado,wild,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
descanso para limpieza,clean break,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
descarboxilasa,decarboxylase,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
descargo de responsabilidad,disclaimer,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
descenlace,outcome,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
descomunal,dramatically,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
descubrimiento,finding,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
descubrir,detect,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
desechable,disposable,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
desechos médicos patológicos (MPW),medical pathological waste ,NIH,NIH,,MPW,Health,,,,,,,,,,,,,,,,,,
desembolso,disbursement,FDA,FDA,,,Health,Food Industry,,,,Depends on the context,,,,,,,,,,,,,
desempeñar una función,play a role,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
desempeño del proveedor,supplier’s performance,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
desencadenante,trigger,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
desfavorable,worse,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
desfibrilador externo automático,automated external defibrillator,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
deshidratación,drying,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
desinfectante de manos,hand sanitizer,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
desinfectar,sanitize(r) ,FDA,FDA,,,Health,Food Industry,,,,esterilizar,,,,,,,,,,,,,
desmaquillante,makeup remover,FDA,FDA,,,Health,Cosmetics,,,,,,,,,,,,,,,,,
desmesurado,dramatically,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
desmopresina,desmopressin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
desodorante,deodorant,FDA,FDA,,,Health,Cosmetics,,,,,,,,,,,,,,,,,
desolación,distress,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
desorientación,,NIA,NIA,,,,,,,,,,,,,,,,,,,,,
desoxirribonucleasa (DNasa o ADNasa),DNase,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
despachar medicamentos,dispense drug,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
despacho de medicamentos,dispense drug,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
despacho directo,Cross-Docking,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
despejado,clear,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
despoblado,wild,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
destacado,salient,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
destrezas,skills,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
destrezas alimentarias,Feeding skills,USDA-FNS,USDA-FNS,,,Health,,,,,https://fns-prod.azureedge.net/sites/default/files/resource-files/TrainersKit_TrainersGuide_SP.pdf,,,,,,,,,,,,,
detallado,comprehensive,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
detalle,fact,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
detección sistemática,screening,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
detectar,monitor,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
deterioro,impairment,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Deterioro cognitivo relacionado con la edad,Age-related cognitive decline,NIA,NIA,,,Health,,,,,,,,,Primary,,,,,,,,,
deterioro de la capacidad de discernimiento,impaired judgment,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
determinante,determinant,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
determinantes sociales de la salud,social determinants of health,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Determinantes sociales de salud,Social determinants of health ,HRSA,HRSA,,SDOH,,,,,,,,,,,,,,,,,,,
devengados / acumulados,earned,USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
diabetes,diabetes,FDA,FDA,,,Health,Drug Development,,Es una enfermedad en la que los niveles de glucosa en la sangre están por encima de lo normal. La mayoría de los alimentos que ingerimos se convierte en glucosa (o azúcar) que nuestros cuerpos usan como energía.,,,,,,,,,,,,,,,
diabetes de tipo 1,type 1 diabetes,FDA,FDA,,,Health,Drug Development,,"La diabetes mellitus de tipo 1 (también conocida como diabetes tipo 1 o DM1, y anteriormente como diabetes insulinodependiente o diabetes juvenil) es una forma de diabetes mellitus que resulta de la destrucción autoinmune de las células beta que producen la insulina en el páncreas. La falta subsiguiente de insulina conduce a un aumento del nivel de glucosa en la orina y en la sangre.",,,,,,,,,,,,,,,
diabetes de tipo 2,type 2 diabetes,FDA,FDA,,,Health,Drug Development,,"La diabetes de tipo 2, alguna vez llamada diabetes no insulinodependiente, es la forma más común de diabetes, la cual afecta a entre 90 y 95% de los 26 millones de estadounidenses que la padecen. A diferencia de las personas con diabetes de tipo 1, el organismo de quienes tienen diabetes de tipo 2 sí produce insulina, pero su páncreas no produce la suficiente o el cuerpo no puede aprovecharla bien. A esto se le conoce como resistencia a la insulina. Cuando no hay suficiente insulina o no se aprovecha como debería, la glucosa (el azúcar) no puede ingresar a las células del cuerpo. Cuando la glucosa se acumula en la sangre en vez de ser absorbida por las células del cuerpo, éstas no pueden funcionar como es debido. ",,,,,,,,,,,,,,,
diabetes gestacional,gestational diabetes,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
